Endstate,Frequency,Energy,Hamming
2097237.0,117476,-4.478461223906782,21
2236501.0,49480,-7.804567452010465,19
2499669.0,50883,-10.686818730593071,17
3211264.0,10,-0.4756482745891688,15
3211349.0,218953,-6.763681472938309,19
3244032.0,48935,-1.8732541156302247,14
3350613.0,52293,-11.176772313833862,17
3474517.0,66237,-8.656964514448987,17
3613781.0,195920,-15.036611546640703,15
3650629.0,125964,-16.467044664015276,12
4191300.0,66328,-21.12504021027777,9
4191598.0,674064,-33.730645407946426,5
4194218.0,2527760,-54.213454352084554,0
