Endstate,Frequency,Energy,Hamming,RelFreq
85.0,650389,-8.339326912692737,22,0.15506482124328613
65605.0,1,-4.03493670489445,20,2.384185791015625e-07
139349.0,338037,-8.884907082985219,20,0.08059430122375488
1114112.0,8,-0.5898280698326968,16,1.9073486328125e-06
1114117.0,1,-1.316278285201452,18,2.384185791015625e-07
1146880.0,63173,-1.987433910873753,15,0.015061616897583008
1548288.0,29637,-6.366278323774953,12,0.007066011428833008
1674181.0,13857,-12.482814944759415,13,0.0033037662506103516
3613781.0,72194,-15.036611546640703,15,0.017212390899658203
3650629.0,81134,-16.467044664015276,12,0.019343852996826172
4191300.0,54005,-21.12504021027777,9,0.012875795364379883
4191598.0,467514,-33.730645407946426,5,0.11146402359008789
4194218.0,2424353,-54.213454352084554,0,0.5780107975006104
